cat,stream_type,type_code,z,flow_accum,x1,y1,x2,y2,id,tosegment,in_study_basin
4,start,0,,,189555.735056543,7283200.70276974,197290.791599354,7264939.02439024,1,18,1
5,start,0,,,197959.612277868,7329800.53741215,201507.269789984,7323196.5688301,2,6,1
6,start,0,,,217704.36187399,7321863.37329475,215756.05815832,7309399.54526664,3,10,1
8,start,0,,,205956.381260097,7334761.26498553,209067.851373183,7321987.39148408,4,8,1
9,start,0,,,197901.453957997,7323785.65522943,201507.269789984,7323196.5688301,5,6,1
10,intermediate,1,,,201507.269789984,7323196.5688301,209067.851373183,7321987.39148408,6,8,1
11,start,0,,,190544.426494346,7305337.94956594,209184.168012924,7284316.86647375,7,20,1
13,intermediate,1,,,209067.851373183,7321987.39148408,215756.05815832,7309399.54526664,8,10,1
14,start,0,,,217966.074313409,7312158.94997933,215581.583198708,7308779.45431997,9,11,1
15,intermediate,1,,,215756.05815832,7309399.54526664,215581.583198708,7308779.45431997,10,11,1
16,intermediate,1,,,215581.583198708,7308779.45431997,215726.978998384,7302113.47664324,11,14,1
17,start,0,,,222211.631663974,7276472.71599835,220670.436187399,7262272.63331955,12,23,1
18,start,0,,,216686.591276252,7302206.49028524,215726.978998384,7302113.47664324,13,14,1
19,intermediate,1,,,215726.978998384,7302113.47664324,209184.168012924,7284316.86647375,14,20,1
20,start,0,,,193190.630048465,7266148.20173625,197290.791599354,7264939.02439024,15,18,1
22,start,0,,,215378.02907916,7284626.91194709,209562.197092084,7281092.39355105,16,21,1
24,start,0,,,214273.021001616,7241499.58660604,216948.30371567,7253188.30095081,17,24,1
28,intermediate,1,,,197290.791599354,7264939.02439024,216948.30371567,7253188.30095081,18,24,1
29,start,0,,,212063.004846527,7269124.63828028,216337.641357027,7272070.07027697,19,22,1
31,intermediate,1,,,209184.168012924,7284316.86647375,209562.197092084,7281092.39355105,20,21,1
32,intermediate,1,,,209562.197092084,7281092.39355105,216337.641357027,7272070.07027697,21,22,1
39,intermediate,1,,,216337.641357027,7272070.07027697,220670.436187399,7262272.63331955,22,23,1
46,intermediate,1,,,220670.436187399,7262272.63331955,224799.676898223,7249777.80074411,23,25,1
48,intermediate,1,,,216948.30371567,7253188.30095081,224799.676898223,7249777.80074411,24,25,1
52,intermediate,1,,,224799.676898223,7249777.80074411,246579.967689822,7229035.75857793,25,0,1
